Date,PairID,Open,High,Low,Close,Volume,Spread
2024-06-26,5,83.41459655761719,83.61360168457031,83.4020004272461,83.41459655761719,0,5.0
2024-06-27,5,83.58039855957031,83.5886001586914,83.41799926757812,83.58039855957031,0,5.0
2024-06-28,5,83.45089721679688,83.5083999633789,83.32469940185547,83.45089721679688,0,5.0
2024-07-01,5,83.36750030517578,83.46620178222656,83.35679626464844,83.36750030517578,0,5.0
2024-07-02,5,83.44129943847656,83.55850219726562,83.42459869384766,83.44129943847656,0,5.0
2024-07-03,5,83.4791030883789,83.5530014038086,83.44409942626953,83.4791030883789,0,5.0
2024-07-04,5,83.49120330810547,83.55249786376953,83.46520233154297,83.49120330810547,0,5.0
2024-07-05,5,83.49340057373047,83.51570129394531,83.46299743652344,83.49340057373047,0,5.0
2024-07-08,5,83.47209930419922,83.50689697265625,83.43930053710938,83.47209930419922,0,5.0
2024-07-09,5,83.45760345458984,83.50980377197266,83.45099639892578,83.45760345458984,0,5.0
2024-07-10,5,83.49299621582031,83.52960205078125,83.47200012207031,83.49299621582031,0,5.0
2024-07-11,5,83.49590301513672,83.58799743652344,83.46600341796875,83.49590301513672,0,5.0
2024-07-12,5,83.51850128173828,83.55650329589844,83.46620178222656,83.51850128173828,0,5.0
2024-07-15,5,83.52030181884766,83.61689758300781,83.35890197753906,83.52030181884766,0,5.0
2024-07-16,5,83.58760070800781,83.60350036621094,83.53160095214844,83.58760070800781,0,5.0
2024-07-17,5,83.52960205078125,83.59329986572266,83.49400329589844,83.52960205078125,0,5.0
2024-07-18,5,83.57209777832031,83.66690063476562,83.54900360107422,83.57209777832031,0,5.0
2024-07-19,5,83.67430114746094,83.72669982910156,83.60040283203125,83.67430114746094,0,5.0
2024-07-22,5,83.73030090332031,83.74140167236328,83.64299774169922,83.73030090332031,0,5.0
2024-07-23,5,83.67130279541016,83.71810150146484,83.59929656982422,83.67130279541016,0,5.0
2024-07-24,5,83.70680236816406,83.72769927978516,83.63790130615234,83.70680236816406,0,5.0
2024-07-25,5,83.74299621582031,83.85880279541016,83.66110229492188,83.74299621582031,0,5.0
2024-07-26,5,83.73760223388672,83.75479888916016,83.65969848632812,83.73760223388672,0,5.0
